22:41:39 Action done with result: Signed in!
22:41:42 Action done with result: Cursor connected!
22:41:42 Action done with result: Successfully read from table!
22:41:42 Action done with result: File is opened!
22:41:42 Action done with result: Failed to write in table!
22:41:42 Action done with result: Transaction commited!
22:41:42 Action done with result: Cursor closed!
22:41:42 Action done with result: Cursor connected!
22:41:42 Action done with result: Successfully read from table!
22:41:42 Editing table: Homework
22:41:42 Action done with result: Transaction commited!
22:41:42 Action done with result: Cursor closed!
22:41:45 Action done with result: Connection closed!
